ルール,根拠,重視
評論家にならない,トライを尊重してほしい,
失敗は積極的に共有しよう,失敗するときは構造、やり方に問題があることが多いので、そちらにフォーカスしたい,
失敗を許容して、やり方を見直そう,失敗するときは構造、やり方に問題があることが多いので、そちらにフォーカスしたい,
「やり方」レイヤーに向ける観点をいつも持っておく,検査と適応の考え方より。,"馬場香菜子, 中内遼吾"
不満を婉曲表現や態度で出さない,悪いのはシステム　個人ではない,
楽しんでやりましょう,楽しんでやることがモチベーションにつながるから,
守破離を意識する（最初は型を守りつつ最後まで形式重視にならないようにする）,2章ラスト,"岩間和也, まりーな n, 伊藤圭輔"
スプリント最後のレビューではタスクの量が適切か検査する（詰め込みすぎでいないか、あるいは余りすぎていないか）,検査と適応の考え方より。,中内遼吾
デモにフォーカスしよう,使う人の反応に価値を置くべき、使う人の行動の観察を重視するべき,
ガントチャートは使わない,ガントチャートは管理と予測可能性の権化なので、代わりにデモします,
バックログの作成を優先的に行う,８章（これから取り掛かる製品やサービスのビジョンを明確にし、ビジョンを実現するために必要な項目を挙げていく。最初から全体を決めなくていい。まずは一週間）,
開発サイドとしてはまだ発表するのは気が引けるレベルになるかもしれないとしても、割り切ってリリースする。,MVPは価値の3割と少し、機能は全体の5%以下。遅くとも価値の8割、機能の2割できたらリリースする。,田中秀和
MVPを常に作れているか意識する。やらないことを決める。,MVPは価値の3割と少し、機能は全体の5%以下。遅くとも価値の8割、機能の2割できたらリリースする。,
プロダクトオーナーになった人は、最終的な決断をすること。ただし、何を作るかの決定は、強制や圧力ではなく、説得を通じて行うこと。,８章,
プロダクトオーナーの役割: チームの生産性を価値としてアウトプットさせる責任がある、何を作るかに関する決定権を有する,８章,
スクラムマスターの役割：仕事をすすめるスピードとどれだけスピードを上げられるかを担当する,８章,
困ったときにメンバー同士で助け合う。助かった時に、スタンプを送る。,７章,
振り返りの射程ごとにそれぞれ振り返る（1ヶ月、1Qなど）,７章,まりーな n
スプリントごとに幸福度を測る,７章,
スプリントが終わるごとに1番の改善点をチームで決め、それを次のスプリントの最重要課題にする（課題に対する合格判定試験も決めておく！）,７章,
スクラムルールは個人が好きな時に書き込んでよい,6章,
スクラムルールを後で変えても良い,6章,
人間の習性を把握して、対処する,6章,馬場香菜子
やるべきタスクはストーリーに記そう。評価（INVEST）しよう。,6章,
プロジェクトを進めながら手をいれて計画を洗練していく,6章,
働き過ぎない＆ポモドーロ守る,５章,"岩間和也, 伊藤圭輔, 上村真澄"
一つの領域を担当しない。色々な領域を担当するようにローテーションする。,４章,
デイリーmtgの趣旨はあるメンバの仕事が、他のメンバの仕事に依存しなくするため。チームの勝利を導くために何をすべきか協議する。目的はスプリントの現状をメンバー全員が把握すること、作業計画を立てること、助け合うこと。個人の進捗報告の場にはしない＆実行に移せて有益な情報に絞る。（もっと上手く趣旨をまとめられる人がいれば編集してください）,４章,
ゆる悲鳴チャンネルを用意する,４章,
完了の定義はユーザーが使える状態とする,４章,上村真澄
10~15分調べてわからなかなったら何度でも聞いていい,時間の使い方を効率よくするため,
チームメンバーの困りごとに興味を持つ　質問する,ただの進捗会議にしないため,
締切が迫っていても臨時で無理したりするのではなくスクラムルールを大事にする（４Q目指す方向を見据えて計画する）,３章,田中秀和
非難する人間を探すのではなく、過ちを生むシステムを正す,３章,"まりーな n, 中内遼吾, 岩間和也, 伊藤圭輔, 田中秀和"
" スプリントの終わりに話し合う事項：[見直すこと]｛メンバー間のやりとり・業務・プロセス｝、[観点]｛進め方で変えられるところはないか・進める上でどこが一番の難関か｝",３章,
,暗黙知の共有は「強いつながり」が必要になる,馬場香菜子
スクラムマスターは仕事のプロセスの問題に意識を向ける,３章,上村真澄
スクラムマスターはチームを継続的に改善し前進させていく役割を担う,３章,
前回集まった時から何したか＆次回までに何するかを言語化する,週単位よりも小さいスコープでの改善サイクルを回した方が良い,
週報（特に来週やることや課題認識）答え合わせを仕組み化する（金曜までに出す）,課題認識が共有できているかを把握する,
1 タスクは 1 ～２時間以内で終わるサイズ,,
プロセスがマンネリ化していないか振り返る,９章,